"Package","Title","Description","URL","Version","Date","Category"
"ggfortify","Data Visualization Tools for Statistical Analysis Results","Unified plotting tools for statistics commonly used, such as GLM,
    time series, PCA families, clustering and survival analysis. The package offers
    a single plotting interface for these analysis results and plots in a unified
    style using 'ggplot2'.","https://github.com/sinhrks/ggfortify","0.4.5","2018-05-26","Plots"
"gghighlight","Highlight Lines and Points in 'ggplot2'","Make it easier to explore data with highlights.",NA,"0.0.1",NA,"Plots"
"ggimage","Use Image in 'ggplot2'","Supports image files and graphic objects to be visualized in
    'ggplot2' graphic system.","https://github.com/GuangchuangYu/ggimage","0.1.7",NA,"Plots"
"ggiraph","Make 'ggplot2' Graphics Interactive","Create interactive 'ggplot2' graphics using 'htmlwidgets'.","https://davidgohel.github.io/ggiraph","0.4.3",NA,"Plots"
"ggmap","Spatial Visualization with ggplot2","A collection of functions to visualize spatial data and models
    on top of static maps from various online sources (e.g Google Maps and Stamen
    Maps). It includes tools common to those tasks, including functions for
    geolocation and routing.","https://github.com/dkahle/ggmap","2.6.1",NA,"Plots"
"ggplotAssist","'RStudio' Addin for Teaching and Learning 'ggplot2'","An 'RStudio' addin for teaching and learning making plot using the 'ggplot2' package.
    You can learn each steps of making plot by clicking your mouse without coding.
    You can get resultant code for the plot.","https://github.com/cardiomoon/ggplotAssist","0.1.3",NA,"Plots"
"ggplotgui","Create Ggplots via a Graphical User Interface","Easily explore data by creating ggplots through a (shiny-)GUI. R-code to recreate graph provided.   ","https://github.com/gertstulp/ggplotgui/","1.0.0",NA,"Plots"
"ggpubr","'ggplot2' Based Publication Ready Plots","'ggplot2' is an excellent and flexible package for elegant data
    visualization in R. However the default generated plots requires some formatting
    before we can send them for publication. Furthermore, to customize a 'ggplot',
    the syntax is opaque and this raises the level of difficulty for researchers
    with no advanced R programming skills. 'ggpubr' provides some easy-to-use
    functions for creating and customizing 'ggplot2'- based publication ready plots.","http://www.sthda.com/english/rpkgs/ggpubr","0.1.6","2017-11-14","Plots"
"ggraph","An Implementation of Grammar of Graphics for Graphs and Networks","The grammar of graphics as implemented in ggplot2 is a poor fit for
    graph and network visualizations due to its reliance on tabular data input.
    ggraph is an extension of the ggplot2 API tailored to graph visualizations
    and provides the same flexible approach to building up plots layer by layer.",NA,"1.0.1","2018-01-29","Plots"
"ggrepel","Automatically Position Non-Overlapping Text Labels with
'ggplot2'","Provides text and label geoms for 'ggplot2' that help to avoid
    overlapping text labels. Labels repel away from each other and away from the
    data points.","http://github.com/slowkow/ggrepel","0.8.0",NA,"Plots"
"ggridges","Ridgeline Plots in 'ggplot2'","Ridgeline plots provide a convenient way of visualizing changes in distributions over time or space. This package enables the creation of such plots in 'ggplot2'.","https://github.com/clauswilke/ggridges","0.5.0",NA,"Plots"
"ggsci","Scientific Journal and Sci-Fi Themed Color Palettes for
'ggplot2'","A collection of 'ggplot2' color palettes inspired by
    plots in scientific journals, data visualization libraries,
    science fiction movies, and TV shows.","https://nanx.me/ggsci/, https://github.com/road2stat/ggsci","2.9",NA,"Plots"
"ggseas","'stats' for Seasonal Adjustment on the Fly with 'ggplot2'","Provides 'ggplot2' 'stats' that estimate seasonally adjusted series 
    and rolling summaries such as rolling average on the fly for time series.",NA,"0.5.4",NA,"Plots"
"ggsn","North Symbols and Scale Bars for Maps Created with 'ggplot2' or
'ggmap'","Adds north symbols (18 options) and scale bars in kilometers to
    maps in geographic or metric coordinates created with 'ggplot2' or 'ggmap'.","https://github.com/oswaldosantos/ggsn","0.4.0","2016-03-20","Plots"
"ggstance","Horizontal 'ggplot2' Components","A 'ggplot2' extension that provides flipped components:
    horizontal versions of 'Stats' and 'Geoms', and vertical versions
    of 'Positions'.",NA,"0.3",NA,"Plots"
"ggstatsplot","'ggplot2' Based Plots with Statistical Details","Extension of 'ggplot2', 'ggstatsplot' creates graphics with details from statistical tests 
  (parametric, non-parametric, or robust) included in the plots themselves. It is targeted primarily at 
  behavioral sciences community to provide a one-line code to generate information-rich plots for 
  statistical analysis of continuous (violin plots, scatterplots, histograms) or categorical (pie charts) data.","https://indrajeetpatil.github.io/ggstatsplot/","0.0.3",NA,"Plots"
"ggtern","An Extension to 'ggplot2', for the Creation of Ternary Diagrams","Extends the functionality of 'ggplot2', providing the capability
    to plot ternary diagrams for (subset of) the 'ggplot2' geometries. Additionally,
    'ggtern' has implemented several NEW geometries which are unavailable to the
    standard 'ggplot2' release. For further examples and documentation, please
    proceed to the 'ggtern' website.","http://www.ggtern.com","2.2.1","2017-07-09","Plots"
"ggThemeAssist","Add-in to Customize 'ggplot2' Themes","Rstudio add-in that delivers a graphical interface for editing 'ggplot2' theme elements.","https://github.com/calligross/ggthemeassist","0.1.5",NA,"Plots / Color"
"ggthemes","Extra Themes, Scales and Geoms for 'ggplot2'","Some extra themes, geoms, and scales for 'ggplot2'.
    Provides 'ggplot2' themes and scales that replicate the look of plots
    by Edward Tufte, Stephen Few, 'Fivethirtyeight', 'The Economist', 'Stata',
    'Excel', and 'The Wall Street Journal', among others.
    Provides 'geoms' for Tufte's box plot and range frame.","http://github.com/jrnold/ggthemes","3.5.0",NA,"Plots / Color"
"ggvis","Interactive Grammar of Graphics","An implementation of an interactive grammar of graphics, taking the
    best parts of 'ggplot2', combining them with the reactive framework of
    'shiny' and drawing web graphics using 'vega'.","http://ggvis.rstudio.com/","0.4.3",NA,"Plots"
"glmnet","Lasso and Elastic-Net Regularized Generalized Linear Models","Extremely efficient procedures for fitting the entire lasso or elastic-net regularization path for linear regression, logistic and multinomial regression models, Poisson regression and the Cox model. Two recent additions are the multiple-response Gaussian, and the grouped multinomial regression. The algorithm uses cyclical coordinate descent in a path-wise fashion, as described in the paper linked to via the URL below.","http://www.jstatsoft.org/v33/i01/.","2.0-16","2018-03-12","Stats"
"gmodels","Various R Programming Tools for Model Fitting","Various R programming tools for model fitting.","http://www.sf.net/projects/r-gregmisc","2.16.2","2015-07-21","Models"
"googleLanguageR","Call Google's 'Natural Language' API, 'Cloud Translation' API,
'Cloud Speech' API and 'Cloud Text-to-Speech' API","Call 'Google Cloud' machine learning APIs for text and speech tasks.
  Call the 'Cloud Translation' API <https://cloud.google.com/translate/> for detection 
  and translation of text, the 'Natural Language' API <https://cloud.google.com/natural-language/> to 
  analyse text for sentiment, entities or syntax, the 'Cloud Speech' API 
  <https://cloud.google.com/speech/> to transcribe sound files to text and 
  the 'Cloud Text-to-Speech' API <https://cloud.google.com/text-to-speech/> to turn text 
  into sound files.","http://code.markedmondson.me/googleLanguageR/,
https://github.com/ropensci/googleLanguageR","0.2.0",NA,"Text / Cloud"
"gpclib","General Polygon Clipping Library for R","General polygon clipping routines for R based on Alan
        Murta's C library","http://www.cs.man.ac.uk/~toby/gpc/,
http://github.com/rdpeng/gpclib","1.5-5","2013-04-01","Maps"
"gridExtra","Miscellaneous Functions for ""Grid"" Graphics","Provides a number of user-level functions to work with ""grid""
    graphics, notably to arrange multiple grid-based plots on a page, and draw
    tables.",NA,"2.3",NA,"Plots"
"gtable","Arrange 'Grobs' in Tables","Tools to make it easier to work with ""tables"" of 'grobs'.",NA,"0.2.0",NA,"Plots"
"gtrendsR","Perform and Display Google Trends Queries","An interface for retrieving and displaying the information returned
    online by Google Trends is provided. Trends (number of hits) over the time as
    well as geographic representation of the results can be displayed.","https://github.com/PMassicotte/gtrendsR","1.4.1","2018-02-26","Data / Cloud"
"heatmaply","Interactive Cluster Heat Maps Using 'plotly'","Create interactive cluster 'heatmaps' that can be saved as a stand-
    alone HTML file, embedded in 'R Markdown' documents or in a 'Shiny' app, and
    available in the 'RStudio' viewer pane. Hover the mouse pointer over a cell to
    show details or drag a rectangle to zoom. A 'heatmap' is a popular graphical
    method for visualizing high-dimensional data, in which a table of numbers
    are encoded as a grid of colored cells. The rows and columns of the matrix
    are ordered to highlight patterns and are often accompanied by 'dendrograms'.
    'Heatmaps' are used in many fields for visualizing observations, correlations,
    missing values patterns, and more. Interactive 'heatmaps' allow the inspection
    of specific value by hovering the mouse over a cell, as well as zooming into
    a region of the 'heatmap' by dragging a rectangle around the relevant area.
    This work is based on the 'ggplot2' and 'plotly.js' engine. It produces
    similar 'heatmaps' as 'heatmap.2' or 'd3heatmap', with the advantage of speed
    ('plotly.js' is able to handle larger size matrix), the ability to zoom from
    the 'dendrogram' panes, and the placing of factor variables in the sides of the
    'heatmap'.","https://cran.r-project.org/package=heatmaply,
https://github.com/talgalili/heatmaply/,
https://www.r-statistics.com/tag/heatmaply/","0.14.1","2018-02-01","Plot"
"here","A Simpler Way to Find Your Files","Constructs paths to your project's files.
    The 'here()' function uses a reasonable heuristics to find your project's
    files, based on the current working directory at the time when the package
    is loaded. Use it as a drop-in replacement for 'file.path()', it will always
    locate the files relative to your project root.","https://github.com/krlmlr/here, http://krlmlr.github.io/here","0.1","2017-05-27","Tools / Programming"
"hexbin","Hexagonal Binning Routines","Binning and plotting functions for hexagonal bins.","http://github.com/edzer/hexbin","1.27.2",NA,"Plots"
"hexSticker","Create Hexagon Sticker in R","Helper functions for creating reproducible hexagon sticker purely in R.","https://github.com/GuangchuangYu/hexSticker","0.4.4",NA,"Plots"
"highcharter","A Wrapper for the 'Highcharts' Library","A wrapper for the 'Highcharts' library including
  shortcut functions to plot R objects. 'Highcharts' 
  <http://www.highcharts.com/> is a charting library offering
  numerous chart types with a simple configuration syntax.","http://jkunst.com/highcharter","0.5.0","2016-09-05","Plots"
"Hmisc","Harrell Miscellaneous","Contains many functions useful for data
	analysis, high-level graphics, utility operations, functions for
	computing sample size and power, importing and annotating datasets,
	imputing missing values, advanced table making, variable clustering,
	character string manipulation, conversion of R objects to LaTeX and html code,
	and recoding variables.","http://biostat.mc.vanderbilt.edu/Hmisc,
https://github.com/harrelfe/Hmisc","4.1-1","2018-01-03","Tools"
"hrbrthemes","Additional Themes, Theme Components and Utilities for 'ggplot2'","A compilation of extra 'ggplot2' themes, scales and utilities, including a 
    spell check function for plot label fields and an overall emphasis on typography. 
    A copy of the 'Google' font 'Roboto Condensed' <https://github.com/google/roboto/> 
    is also included along with a copy of the 'IBM' 'Plex Sans' <https://github.com/IBM/type>
    and 'Titillium Web' <https://fonts.google.com/specimen/Titillium+Web> fonts
    are also included to support their respective typography-oriented themes.","http://github.com/hrbrmstr/hrbrthemes","0.5.0","2018-04-24","Color"
"htmlwidgets","HTML Widgets for R","A framework for creating HTML widgets that render in various
    contexts including the R console, 'R Markdown' documents, and 'Shiny'
    web applications.","https://github.com/ramnathv/htmlwidgets","1.2",NA,"Plots"
"igraph","Network Analysis and Visualization","Routines for simple graphs and network analysis. It can
  handle large graphs very well and provides functions for generating random
  and regular graphs, graph visualization, centrality methods and much more.","http://igraph.org","1.2.1",NA,"Plots"
"iml","Interpretable Machine Learning","Interpretability methods to analyze the behavior and predictions of
 any machine learning model.
 Implemented methods are:
 Feature importance described by Fisher et al. (2018) <arXiv:1801.01489>,
 partial dependence plots described by Friedman (2001) <http://www.jstor.org/stable/2699986>,
 individual conditional expectation ('ice') plots described by Goldstein et al. (2013) <doi:10.1080/10618600.2014.907095>,
 local models (variant of 'lime') described by Ribeiro et. al (2016) <arXiv:1602.04938>,
 the Shapley Value described by Strumbelj et. al (2014) <doi:10.1007/s10115-013-0679-x>, 
 feature interactions described by Friedman et. al <doi:10.1214/07-AOAS148> and
 tree surrogate models.","https://github.com/christophM/iml","0.5.1","2018-04-27","Help / Models"
"infer","Tidy Statistical Inference","The objective of this package is to perform inference using an expressive statistical grammar that coheres with the tidy design framework. ","https://github.com/andrewpbray/infer","0.2.0",NA,"Stats"
"janitor","Simple Tools for Examining and Cleaning Dirty Data","The main janitor functions can: perfectly format data.frame column
    names; provide quick counts of variable combinations (i.e., frequency
    tables and crosstabs); and isolate duplicate records. Other janitor functions
    nicely format the tabulation results. These tabulate-and-report functions
    approximate popular features of SPSS and Microsoft Excel. This package
    follows the principles of the ""tidyverse"" and works well with the pipe function
    %>%. janitor was built with beginning-to-intermediate R users in mind and is
    optimized for user-friendliness. Advanced R users can already do everything
    covered here, but with janitor they can do it faster and save their thinking for
    the fun stuff.","https://github.com/sfirke/janitor","1.0.0",NA,"Tools / EDA"
"knitr","A General-Purpose Package for Dynamic Report Generation in R","Provides a general-purpose tool for dynamic report generation in R
    using Literate Programming techniques.","https://yihui.name/knitr/","1.20",NA,"Report"
"komaletter","Simple yet Flexible Letters via the 'KOMA-Script LaTeX Bundle'","An R Markdown template for writing beautiful yet versatile letters,
  using the 'KOMA-Script' letter class 'scrlttr2' and an adaptation of the
  'pandoc-letter' template. 'scrlttr2' provides layouts for many different
  window envelope types and the possibility to define your own.","https://github.com/rnuske/komaletter","0.2.0",NA,"Report"
"koRpus","An R Package for Text Analysis","A set of tools to analyze texts. Includes, amongst others, functions for automatic language detection, hyphenation,
               several indices of lexical diversity (e.g., type token ratio, HD-D/vocd-D, MTLD) and readability (e.g., Flesch, SMOG,
               LIX, Dale-Chall). Basic import functions for language corpora are also provided, to enable frequency analyses (supports
               Celex and Leipzig Corpora Collection file formats) and measures like tf-idf. Support for additional languages can be
               added on-the-fly or by plugin packages. Note: For full functionality a local installation of TreeTagger is recommended.
               'koRpus' also includes a plugin for the R GUI and IDE RKWard, providing graphical dialogs for its basic features. The
               respective R package 'rkward' cannot be installed directly from a repository, as it is a part of RKWard. To make full
               use of this feature, please install RKWard from <https://rkward.kde.org> (plugins are detected automatically). Due to
               some restrictions on CRAN, the full package sources are only available from the project homepage. To ask for help,
               report bugs, request features, or discuss the development of the package, please subscribe to the koRpus-dev mailing
               list (<http://korpusml.reaktanz.de>).","https://reaktanz.de/?c=hacking&s=koRpus","0.10-2","2017-04-04","Text"
"lambda.tools","Tools for Modeling Data with Functional Programming","Provides tools that manipulate and transform data using methods
    and techniques consistent with functional programming. The idea is that
    through the use of these tools, a program can be reasoned about insomuch
    that the implementation can be proven to be equivalent to the mathematical
    model.",NA,"1.0.9","2016-05-11","Models"
"leaflet","Create Interactive Web Maps with the JavaScript 'Leaflet'
Library","Create and customize interactive maps using the 'Leaflet'
    JavaScript library and the 'htmlwidgets' package. These maps can be used
    directly from the R console, from 'RStudio', in Shiny applications and R Markdown
    documents.","http://rstudio.github.io/leaflet/","2.0.1",NA,"Maps"
"leaflet.minicharts","Mini Charts for Interactive Maps","Add and modify small charts on an interactive map created with 
    package 'leaflet'. These charts can be used to represent at same time multiple 
    variables on a single map.",NA,"0.5.4",NA,"Maps"
"leaps","Regression Subset Selection","Regression subset selection, including exhaustive search.",NA,"3.0",NA,"Models"
"lemon","Freshing Up your 'ggplot2' Plots","Functions for working with legends and axis lines of 'ggplot2',
    facets that repeat axis lines on all panels, and some 'knitr' extensions.","https://github.com/stefanedwards/lemon","0.3.3","2018-01-31","Plots"
"lessR","Less Code, More Results","Each function accomplishes the work of several or more standard R functions. For example, two function calls, Read() and CountAll(), read the data and generate summary statistics for all variables in the data frame, plus histograms and bar charts as appropriate.  Other functions provide for descriptive statistics, a comprehensive regression analysis, analysis of variance and t-test, plotting including the introduced here Violin/Box/Scatter plot for a numerical variable, bar chart, histogram, box plot, density curves, calibrated power curve, reading multiple data formats with the same function call, variable labels, color themes, Trellis graphics and a built-in help system. A confirmatory factor analysis of multiple indicator measurement models is available, as are pedagogical routines for data simulation such as for the Central Limit Theorem. Compatible with 'RStudio' and 'knitr' including generation of R markdown instructions for interpretative output. ",NA,"3.7.5","2018-06-03","Programming / Stats / Tools"
"liftr","Containerize R Markdown Documents for Continuous Reproducibility","Persistent reproducible reporting by containerization of R Markdown documents.","https://nanx.me/liftr/, https://github.com/road2stat/liftr","0.9",NA,"Docker / Report"
"likert","Analysis and Visualization Likert Items","An approach to analyzing Likert response items, with an emphasis on visualizations. 
    The stacked bar plot is the preferred method for presenting Likert results. Tabular results
    are also implemented along with density plots to assist researchers in determining whether 
    Likert responses can be used quantitatively instead of qualitatively. See the likert(), 
    summary.likert(), and plot.likert() functions to get started.","http://jason.bryer.org/likert, http://github.com/jbryer/likert","1.3.5","2016-12-29","Stats"
"lime","Local Interpretable Model-Agnostic Explanations","When building complex models, it is often difficult to explain why
    the model should be trusted. While global measures such as accuracy are
    useful, they cannot be used for explaining why a model made a specific
    prediction. 'lime' (a port of the 'lime' 'Python' package) is a method for
    explaining the outcome of black box models by fitting a local model around
    the point in question an perturbations of this point. The approach is
    described in more detail in the article by Ribeiro et al. (2016) 
    <arXiv:1602.04938>.","https://github.com/thomasp85/lime","0.4.0","2018-03-08","Explain"
"linemap","Line Maps","Create maps made of lines. The package contains two functions: linemap() and getgrid(). linemap() displays a map made of lines using a data frame of gridded data. getgrid() transforms a set of polygons (sf objects) into a suitable data frame for linemap().",NA,"0.1.0",NA,"Maps"
"liquidSVM","A Fast and Versatile SVM Package","Support vector machines (SVMs) and related kernel-based learning
    algorithms are a well-known class of machine learning algorithms, for
    non-parametric classification and regression.
    liquidSVM is an implementation of SVMs whose key features are:
    fully integrated hyper-parameter selection,
    extreme speed on both small and large data sets,
    full flexibility for experts, and
    inclusion of a variety of different learning scenarios:
    multi-class classification, ROC, and Neyman-Pearson learning, and
    least-squares, quantile, and expectile regression.","http://www.isa.uni-stuttgart.de/software/","1.2.1","2017-07-19","Models / Stats"
"live","Local Interpretable (Model-Agnostic) Visual Explanations","Interpretability of complex machine learning models is a growing concern.
    This package helps to understand key factors that drive the 
    decision made by complicated predictive model (so called black box model). 
    This is achieved through local approximations that are either based on 
    additive regression like model or CART like model that allows for 
    higher interactions. The methodology is based on Tulio Ribeiro, Singh, Guestrin (2016) <doi:10.1145/2939672.2939778>.
    More details can be found in Staniak, Biecek (2018) <arXiv:1804.01955>.","https://github.com/MI2DataLab/live","1.5.7",NA,"Explain"
"logging","R logging package","logging is a pure R package that implements the ubiquitous
        log4j package.",NA,"0.7-103","2013-04-08","Log"
"magick","Advanced Graphics and Image-Processing in R","Bindings to 'ImageMagick': the most comprehensive open-source image
    processing library available. Supports many common formats (png, jpeg, tiff,
    pdf, etc) and manipulations (rotate, scale, crop, trim, flip, blur, etc).
    All operations are vectorized via the Magick++ STL meaning they operate either
    on a single frame or a series of frames for working with layers, collages,
    or animation. In RStudio images are automatically previewed when printed to
    the console, resulting in an interactive editing environment. The latest 
    version of the package includes a native graphics device for creating 
    in-memory graphics or drawing onto images using pixel coordinates.","https://github.com/ropensci/magick#readme","1.9",NA,"Images"
"manipulate","Interactive Plots for RStudio","Interactive plotting functions for use within RStudio.
  The manipulate function accepts a plotting expression and a set of
  controls (e.g. slider, picker, checkbox, or button) which are used
  to dynamically change values within the expression. When a value is
  changed using its corresponding control the expression is
  automatically re-executed and the plot is redrawn.",NA,"1.0.1","2014-12-23","Plots"
"mapdata","Extra Map Databases","Supplement to maps package, providing the larger and/or
	higher-resolution databases.",NA,"2.3.0","2018-03-29","Maps"
"mapedit","Interactive Editing of Spatial Data in R","Suite of interactive functions and helpers for selecting and editing
    geospatial data.","https://github.com/r-spatial/mapedit","0.4.1","2018-03-01","Maps"
"mapmisc","Utilities for Producing Maps","A minimal, light-weight set of tools for producing nice looking maps in R, with support for map projections.",NA,"1.7.2","2018-04-06","Maps"
"maps","Draw Geographical Maps","Display of maps.  Projection code and larger maps are in
             separate packages ('mapproj' and 'mapdata').",NA,"3.3.0","2018-04-03","Maps"
"mapsapi","'sf'-Compatible Interface to 'Google Maps' APIs","Interface to the 'Google Maps' APIs: (1) routing directions based on the 'Directions' API, returned as 'sf' objects, either as single feature per alternative route, or a single feature per segment per alternative route; (2) travel distance or time matrices based on the 'Distance Matrix' API; (3) geocoded locations based on the 'Geocode' API, returned as 'sf' objects, either points or bounds.",NA,"0.3.5",NA,"Maps"
"maptools","Tools for Reading and Handling Spatial Objects","Set of tools for manipulating and reading geographic data, in particular 'ESRI Shapefiles'; C code used from 'shapelib'. It includes binary access to 'GSHHG' shoreline files. The package also provides interface wrappers for exchanging spatial objects with packages such as 'PBSmapping', 'spatstat', 'maps', 'RArcInfo', 'Stata tmap', 'WinBUGS', 'Mondrian', and others.","http://r-forge.r-project.org/projects/maptools/","0.9-2","2017-03-24","Maps"
"mapview","Interactive Viewing of Spatial Data in R","Quickly and conveniently create interactive visualisations of spatial data with or without background maps. Attributes of displayed features are fully queryable via pop-up windows. Additional functionality includes methods to visualise true- and false-color raster images, bounding boxes, small multiples and 3D raster data cubes. ","https://github.com/r-spatial/mapview","2.4.0","2018-04-28","Maps"
"metricsgraphics","Create Interactive Charts with the JavaScript 'MetricsGraphics'
Library","Provides an 'htmlwidgets' interface to the
    'MetricsGraphics.js' ('D3'-based) charting library which is geared towards
    displaying time-series data. Chart types include line charts, scatterplots,
    histograms and rudimentary bar charts. Support for laying out multiple charts
    into a grid layout is also provided. All charts are interactive and many
    have an option for line, label and region annotations.","http://github.com/hrbrmstr/metricsgraphics","0.9.0","2015-12-21","Plots"
"mi","Missing Data Imputation and Model Checking","The mi package provides functions for data manipulation, imputing missing values in an approximate Bayesian framework, diagnostics of the models used to generate the imputations, confidence-building mechanisms to validate some of the assumptions of the imputation algorithm, and functions to analyze multiply imputed data sets with the appropriate degree of sampling uncertainty.","http://www.stat.columbia.edu/~gelman/","1.0","2015-04-16","Imputation"
"missForest","Nonparametric Missing Value Imputation using Random Forest","The function 'missForest' in this package is used to
        impute missing values particularly in the case of mixed-type
        data. It uses a random forest trained on the observed values of
        a data matrix to predict the missing values. It can be used to
        impute continuous and/or categorical data including complex
        interactions and non-linear relations. It yields an out-of-bag
        (OOB) imputation error estimate without the need of a test set
        or elaborate cross-validation. It can be run in parallel to 
        save computation time.","http://www.r-project.org, https://github.com/stekhoven/missForest","1.4","2013-12-31","Imputation"
"mlr","Machine Learning in R","Interface to a large number of classification and regression
    techniques, including machine-readable parameter descriptions. There is
    also an experimental extension for survival analysis, clustering and
    general, example-specific cost-sensitive learning. Generic resampling,
    including cross-validation, bootstrapping and subsampling. Hyperparameter
    tuning with modern optimization techniques, for single- and multi-objective
    problems. Filter and wrapper methods for feature selection. Extension of
    basic learners with additional operations common in machine learning, also
    allowing for easy nested resampling. Most operations can be parallelized.","https://github.com/mlr-org/mlr","2.12.1",NA,"Models"
"mschart","Chart Generation for 'Microsoft Word' and 'Microsoft PowerPoint'
Documents","Create native charts for 'Microsoft PowerPoint' and 'Microsoft Word' documents. 
 These can then be edited and annotated. Functions are provided to let users create charts, modify 
 and format their content. The chart's underlying data is automatically saved within the 
 'Word' document or 'PowerPoint' presentation. It extends package 'officer' that does 
 not contain any feature for 'Microsoft' native charts production. ","https://ardata-fr.github.io/mschart/","0.2.3",NA,"Report"
"multiROC","Calculating and Visualizing ROC Curves Across Multi-Class
Classifications","Tools to solve real-world problems with multiple classes by computing the areas under ROC curve via micro-averaging and macro-averaging. The methodology is described in V. Van Asch (2013) <https://www.clips.uantwerpen.be/~vincent/pdf/microaverage.pdf> and Pedregosa et al. (2011) <http://scikit-learn.org/stable/auto_examples/model_selection/plot_roc.html>.",NA,"1.0.0",NA,"Models"
"naniar","Data Structures, Summaries, and Visualisations for Missing Data","Missing values are ubiquitous in data and need to be explored and
    handled in the initial stages of analysis. 'naniar' provides data structures 
    and functions that facilitate the plotting of missing values and examination 
    of imputations. This allows missing data dependencies to be explored with 
    minimal deviation from the common work patterns of 'ggplot2' and tidy data. ","https://github.com/njtierney/naniar","0.3.1",NA,"EDA"
"naturalsort","Natural Ordering","Provides functions related to human natural ordering.
    It handles adjacent digits in a character sequence as a number so that
    natural sort function arranges a character vector by their numbers, not digit
    characters. It is typically seen when operating systems lists file names. For
    example, a sequence a-1.png, a-2.png, a-10.png looks naturally ordered because 1
    < 2 < 10 and natural sort algorithm arranges so whereas general sort algorithms
    arrange it into a-1.png, a-10.png, a-2.png owing to their third and fourth
    characters.",NA,"0.1.3","2016-08-30","Tools"
"networkD3","D3 JavaScript Network Graphs from R","Creates 'D3' 'JavaScript' network, tree, dendrogram, and Sankey
    graphs from 'R'.","https://CRAN.R-project.org/package=networkD3","0.4","2017-03-18","Plots"
"numform","Tools to Format Numbers for Publication","Format numbers and plots for publication; includes the removal of leading zeros,
           standardization of number of digits, addition of affixes, and a p-value formatter. These
           tools combine the functionality of several 'base' functions such as 'paste()', 'format()',
           and 'sprintf()' into specific use case functions that are named in a way that is
           consistent with usage, making their names easy to remember and easy to deploy.",NA,"0.4.0","2017-12-12","Tools"
"outliers","Tests for outliers","A collection of some tests commonly used for identifying
        outliers.","http://www.r-project.org, http://www.komsta.net/","0.14","2011-01-23","Outliers"
"OutliersO3","Draws Overview of Outliers (O3) Plots","Potential outliers are identified for all combinations of a dataset's variables. The available methods are HDoutliers() from the package 'HDoutliers', FastPCS() from the package 'FastPCS', mvBACON() from 'robustX', adjOutlyingness() from 'robustbase', DectectDeviatingCells() from 'cellWise', covMcd() from 'robustbase'.",NA,"0.5.4","2018-02-08","Outliers"
"party","A Laboratory for Recursive Partytioning","A computational toolbox for recursive partitioning.
  The core of the package is ctree(), an implementation of
  conditional inference trees which embed tree-structured 
  regression models into a well defined theory of conditional
  inference procedures. This non-parametric class of regression
  trees is applicable to all kinds of regression problems, including
  nominal, ordinal, numeric, censored as well as multivariate response
  variables and arbitrary measurement scales of the covariates. 
  Based on conditional inference trees, cforest() provides an
  implementation of Breiman's random forests. The function mob()
  implements an algorithm for recursive partitioning based on
  parametric models (e.g. linear models, GLMs or survival
  regression) employing parameter instability tests for split
  selection. Extensible functionality for visualizing tree-structured
  regression models is available. The methods are described in
  Hothorn et al. (2006) <doi:10.1198/106186006X133933>,
  Zeileis et al. (2008) <doi:10.1198/106186008X319331> and 
  Strobl et al. (2007) <doi:10.1186/1471-2105-8-25>.","http://party.R-forge.R-project.org","1.3-0","2018-04-20","Models"
"pathological","Path Manipulation Utilities","Utilities for paths, files and directories.","https://github.com/richierocks/pathological","0.1-2","2017-02-14","Files"
"pcaMethods",NA,NA,NA,NA,NA,"Stats / Factorial Analysis"
"pkgdown","Make Static HTML Documentation for a Package","Generate an attractive and useful website from a source package.
    'pkgdown' convert your documentation, vignettes, 'README' and more to 
    'HTML' making it easy to share information about your package online.","http://pkgdown.r-lib.org, https://github.com/r-lib/pkgdown","1.1.0",NA,"Documentation"
